,Policy initiative ID,Platform URL,English name,Original name(s),Acronym,Country,Responsible organisation(s),Link,Public access URL,Available in English,Invalid/irrelevant source
29,2021/data/policyInitiatives/14907,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-14907,AUSTRIAN COUNCIL FOR ROBOTICS AND AI,Österreichischer Rat für Robotik und Künstliche Intelligenz,ACRAI,Austria,"Federal Ministry for Transport, Innovation and Technology (BMVIT;Bundesministerium für Verkehr, Innovation und Technologie)",,https://www.acrai.at/,,TRUE
45,2021/data/policyInitiatives/15413,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-15413,ADVANCED INTEGRATED INTELLIGENCE PLATFORM PROJECT,人工知能／ビッグデータ／IoT／サイバーセキュリティ統合プロジェクト,AIP,Japan,RIKEN (RIKEN;理化学研究所)|Japan Science and Technology Agency (JST;科学技術振興機構),,"https://www.riken.jp/en/
https://www.jst.go.jp/kisoken/aip/en/about/intro/index.html",No,
88,2021/data/policyInitiatives/23955,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-23955,COORDINATED PLAN ON ARTIFICIAL INTELLIGENCE,,,European Union,European Commission (EC;),,"https://ec.europa.eu/digital-single-market/en/news/coordinated-plan-artificial-intelligence
http://europa.eu/rapid/press-release_IP-18-6689_en.htm",Yes,
144,2021/data/policyInitiatives/24197,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24197,AI SOURCE LIST,,,Canada,Treasury Board Secretariat (TBS;),,"https://buyandsell.gc.ca/procurement-data/tender-notice/PW-EE-017-34526
https://buyandsell.gc.ca/cds/public/2018/09/21/5e886991ecc74498b76e3c59a6777cb6/ABES.PROD.PW__EE.B017.E33817.EBSU001.PDF",Yes,
154,2021/data/policyInitiatives/24211,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24211,FINNISH CENTRE FOR AI,Suomen tekoälykeskus,FCAI,Finland,Aalto University (;Aalto-yliopisto)|University of Helsinki (;Helsingin yliopisto)|VTT Technical Research Centre of Finland (VTT;VTT),,https://fcai.fi/,,TRUE
158,2021/data/policyInitiatives/24220,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24220,AI STRATEGY,LIETUVOS DIRBTINIO INTELEKTO STRATEGIJA: ATEITIES VIZIJA,,Lithuania,Ministry of Economy and Innovation (MoEI;Lietuvos Respublikos ekonomikos ir inovacijų ministerija),,"http://eimin.lrv.lt/uploads/eimin/documents/files/DI_strategija_ENG(1).pdf
http://eimin.lrv.lt/uploads/eimin/documents/files/DI_strategija_LT_koreguota.pdf
https://oecd.ai/en/wonk/documents/lithuania-ai-strategy-2019",Yes,
169,2021/data/policyInitiatives/24240,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24240,CANADA'S DIRECTIVE ON AUTOMATED DECISION-MAKING,,,Canada,Treasury Board Secretariat (TBS;),,https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32592,Yes,
170,2021/data/policyInitiatives/24241,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24241,NATIONAL STRATEGY FOR AI,National Strategi for Kunstig Intelligens,,Denmark,"Ministry of Industry, Business and Financial Affairs (EM;Erhvervsministeriet)|Danish Business Authority (ERST;Erhvervsstyrelsen, Danmark)",,"https://en.digst.dk/strategy/the-danish-national-strategy-for-artificial-intelligence/
https://en.digst.dk/media/19337/305755_gb_version_final-a.pdf",Yes,
183,2021/data/policyInitiatives/24253,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24253,DECLARATION ON AI IN THE NORDIC-BALTIC REGION,,,Iceland,Ministry of Industries and Innovation (MII;Atvinnuvega- og nýsköpunarráðuneyti),,,,TRUE
190,2021/data/policyInitiatives/24270,https://oecd.ai/en/dashboards/policy-initiatives/http:%2F%2Faipo.oecd.org%2F2021-data-policyInitiatives-24270,AI PORTUGAL 2030 - NATIONAL STRATEGY FOR AI,AI Portugal 2030 - Estratégia Nacional para Inteligência Artificial,AI Portugal 2030,Portugal,Foundation for Science and Technology (FCT;Fundação para a Ciência e Tecnologia),,"https://www.incode2030.gov.pt/
https://oecd.ai/en/wonk/documents/portugal-ai-portugal-2019-2030",Yes,
